AccountKey,AccountNumber,CustomerKey,AccountType,OpenDate,AccountStatus,InitialDeposit,AvgMonthlyBalance,AccountRiskLevel
52,ACC000052,77,Current,2021-06-22,Active,42427,129876,Medium
53,ACC000053,92,Savings,2024-03-09,Active,15043,65435,Low
54,ACC000054,29,Savings,2023-04-12,Active,29746,41631,Low
55,ACC000055,13,Current,2022-05-27,Active,23350,130038,Low
56,ACC000056,46,Savings,2023-04-10,Active,42605,21103,Low
57,ACC000057,35,Savings,2022-03-28,Active,1117,65772,Medium
58,ACC000058,6,Savings,2022-01-11,Active,47685,127108,Low
59,ACC000059,82,Current,2021-03-25,Active,19935,15382,Low
60,ACC000060,69,Current,2020-10-10,Active,48077,85291,Low
61,ACC000061,47,Savings,2022-11-09,Active,14234,102195,Low
62,ACC000062,25,Current,2022-10-07,Active,39328,135828,Low
63,ACC000063,66,Savings,2020-07-05,Active,1846,21609,Low
64,ACC000064,10,Savings,2024-03-27,Active,11954,148550,Low
65,ACC000065,56,Savings,2020-04-06,Active,14703,171738,Medium
66,ACC000066,30,Savings,2024-10-29,Active,49153,76683,Medium
67,ACC000067,5,Current,2020-08-12,Active,47514,125714,Low
68,ACC000068,33,Current,2020-11-09,Active,23700,131330,Low
69,ACC000069,65,Current,2023-07-09,Active,33043,72315,Low
70,ACC000070,18,Savings,2020-11-23,Active,7469,78834,Low
71,ACC000071,96,Current,2024-06-10,Active,31105,127205,Low
72,ACC000072,49,Savings,2023-10-25,Active,43101,15153,Low
73,ACC000073,11,Current,2022-05-14,Active,27386,77325,Low
74,ACC000074,85,Savings,2023-05-06,Active,46587,145071,Low
75,ACC000075,26,Savings,2020-05-10,Active,37976,56318,Low
76,ACC000076,63,Savings,2022-02-27,Active,40051,132886,Low
77,ACC000077,89,Current,2022-02-20,Active,3048,116033,High
78,ACC000078,86,Current,2023-05-05,Active,40001,77077,Medium
79,ACC000079,59,Current,2022-08-16,Active,13941,91474,Low
80,ACC000080,27,Current,2022-12-19,Active,46375,134515,Medium
81,ACC000081,49,Savings,2021-05-29,Active,43533,74319,Low
82,ACC000082,77,Current,2023-02-07,Active,2828,126885,Medium
83,ACC000083,33,Current,2024-10-28,Active,2917,110777,Medium
84,ACC000084,98,Savings,2020-01-24,Active,21618,18368,Low
85,ACC000085,99,Savings,2023-10-25,Active,33254,147400,Low
86,ACC000086,1,Savings,2024-01-16,Active,40756,189014,Low
87,ACC000087,21,Current,2020-08-22,Active,48362,92751,Low
88,ACC000088,55,Savings,2023-10-28,Active,21128,28306,Low
89,ACC000089,6,Savings,2023-01-04,Active,46745,171987,Low
90,ACC000090,92,Savings,2024-03-17,Active,1009,38219,Low
91,ACC000091,81,Current,2021-06-30,Active,17644,196716,Medium
92,ACC000092,69,Savings,2024-04-23,Active,23422,61279,High
93,ACC000093,95,Current,2023-08-05,Active,10865,54028,Low
94,ACC000094,5,Current,2021-11-27,Active,3219,105263,Low
95,ACC000095,3,Savings,2020-08-16,Active,40809,1126,Low
96,ACC000096,53,Savings,2021-08-24,Active,6287,53329,Low
97,ACC000097,23,Current,2022-06-09,Active,35387,28632,High
98,ACC000098,53,Savings,2020-11-19,Active,9512,197382,Low
99,ACC000099,37,Savings,2022-07-18,Active,2342,110945,Low
100,ACC000100,74,Current,2020-01-07,Active,44336,56176,Low
101,ACC000101,74,Current,2024-01-18,Active,20216,176399,Low
102,ACC000102,83,Savings,2024-11-28,Active,28534,135869,Low
103,ACC000103,17,Current,2024-01-13,Active,15231,179954,Medium
104,ACC000104,85,Savings,2021-06-23,Active,33293,145790,Low
105,ACC000105,78,Savings,2022-10-22,Active,27614,35560,Low
106,ACC000106,73,Savings,2024-04-09,Active,37258,77589,Low
107,ACC000107,1,Current,2020-12-31,Active,29253,23116,High
108,ACC000108,51,Savings,2022-11-05,Active,43078,168316,Medium
109,ACC000109,45,Savings,2020-08-05,Active,41752,133717,Low
110,ACC000110,77,Savings,2024-11-17,Active,18988,179595,Low
111,ACC000111,4,Current,2023-07-04,Active,32037,125085,Low
112,ACC000112,62,Current,2021-09-03,Active,13219,118718,Low
113,ACC000113,65,Current,2024-09-19,Active,1235,20256,High
114,ACC000114,32,Current,2023-08-01,Active,43929,101158,Low
115,ACC000115,34,Current,2022-11-05,Active,2908,185245,Low
116,ACC000116,92,Savings,2023-06-01,Active,9567,169502,Low
117,ACC000117,95,Current,2021-02-11,Active,37298,171354,Low
118,ACC000118,72,Current,2020-11-09,Active,6256,120719,Low
119,ACC000119,39,Current,2022-02-04,Active,20019,195446,Medium
120,ACC000120,26,Savings,2024-04-10,Active,9162,69244,Low
121,ACC000121,34,Current,2020-11-26,Active,6415,143766,Low
122,ACC000122,54,Current,2023-01-09,Active,37159,57264,Low
123,ACC000123,3,Savings,2024-05-13,Active,44925,58545,Low
124,ACC000124,50,Current,2022-12-22,Active,6951,40224,Low
125,ACC000125,12,Savings,2020-01-02,Active,22852,98945,Low
126,ACC000126,65,Savings,2023-05-11,Active,9007,14224,Medium
127,ACC000127,54,Savings,2021-10-25,Active,42832,41738,Low
128,ACC000128,5,Savings,2022-09-27,Active,31523,157222,Low
129,ACC000129,94,Savings,2020-02-09,Active,24325,64731,Low
130,ACC000130,94,Current,2020-08-17,Active,22204,181760,Low
131,ACC000131,57,Savings,2022-01-13,Active,16524,140649,High
132,ACC000132,17,Savings,2024-12-04,Active,20282,9070,Medium
133,ACC000133,47,Current,2024-08-30,Active,24930,127161,Low
134,ACC000134,23,Savings,2024-07-10,Active,1077,9666,Low
135,ACC000135,79,Current,2021-09-21,Active,41345,58761,Low
136,ACC000136,85,Current,2021-05-05,Active,21611,37368,Low
137,ACC000137,14,Current,2020-04-28,Active,17984,138855,Low
138,ACC000138,66,Savings,2021-05-08,Active,15060,42914,Low
139,ACC000139,75,Savings,2024-12-03,Active,18449,128738,Low
140,ACC000140,51,Savings,2023-03-07,Active,19520,68526,Low
141,ACC000141,38,Current,2020-06-10,Active,44303,177837,Medium
142,ACC000142,64,Savings,2020-06-24,Active,10510,20956,Low
143,ACC000143,98,Savings,2024-02-07,Active,30287,47240,Low
144,ACC000144,38,Savings,2022-09-22,Active,29173,122008,Medium
145,ACC000145,50,Current,2024-07-29,Active,40711,169220,Low
146,ACC000146,98,Current,2020-05-21,Active,12954,95270,Low
147,ACC000147,82,Savings,2024-04-06,Active,8804,5757,Low
148,ACC000148,30,Savings,2022-12-26,Active,7565,20097,Low
149,ACC000149,79,Savings,2024-04-17,Active,6984,142467,Medium
150,ACC000150,91,Savings,2020-09-14,Active,22526,148313,Medium
